HERMANDAD;LOGO;FECHA_INICIO;FECHA_FIN;00:00;00:05;00:10;00:15;00:20;00:25;00:30;00:35;00:40;00:45;00:50;00:55;01:00;01:05;01:10;01:15;01:20;01:25;01:30;01:35;01:40;01:45;01:50;01:55;02:00;02:05;02:10;02:15;02:20;02:25;02:30;02:35;02:40;02:45;02:50;02:55;03:00;03:05;03:10;03:15;03:20;03:25;03:30;03:35;03:40;03:45;03:50;03:55;04:00;04:05;04:10;04:15;04:20;04:25;04:30;04:35;04:40;04:45;04:50;04:55;05:00;05:05;05:10;05:15;05:20;05:25;05:30;05:35;05:40;05:45;05:50;05:55;06:00;06:05;06:10;06:15;06:20;06:25;06:30;06:35;06:40;06:45;06:50;06:55;07:00;07:05;07:10;07:15;07:20;07:25;07:30;07:35;07:40;07:45;07:50;07:55;08:00;08:05;08:10;08:15;08:20;08:25;08:30;08:35;08:40;08:45;08:50;08:55;09:00;09:05;09:10;09:15;09:20;09:25;09:30;09:35;09:40;09:45;09:50;09:55;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00;12:05;12:10;12:15;12:20;12:25;12:30;12:35;12:40;12:45;12:50;12:55;13:00;13:05;13:10;13:15;13:20;13:25;13:30;13:35;13:40;13:45;13:50;13:55;14:00;14:05;14:10;14:15;14:20;14:25;14:30;14:35;14:40;14:45;14:50;14:55;15:00;15:05;15:10;15:15;15:20;15:25;15:30;15:35;15:40;15:45;15:50;15:55;16:00;16:05;16:10;16:15;16:20;16:25;16:30;16:35;16:40;16:45;16:50;16:55;17:00;17:05;17:10;17:15;17:20;17:25;17:30;17:35;17:40;17:45;17:50;17:55;18:00;18:05;18:10;18:15;18:20;18:25;18:30;18:35;18:40;18:45;18:50;18:55;19:00;19:05;19:10;19:15;19:20;19:25;19:30;19:35;19:40;19:45;19:50;19:55;20:00;20:05;20:10;20:15;20:20;20:25;20:30;20:35;20:40;20:45;20:50;20:55;21:00;21:05;21:10;21:15;21:20;21:25;21:30;21:35;21:40;21:45;21:50;21:55;22:00;22:05;22:10;22:15;22:20;22:25;22:30;22:35;22:40;22:45;22:50;22:55;23:00;23:05;23:10;23:15;23:20;23:25;23:30;23:35;23:40;23:45;23:50;23:55;;
Bondad: (Cruz de guía);https://i.postimg.cc/SxHM7QvB/13721-removebg-preview.png;22/03/2024-19:00;23/03/2024-00:00;"36.775669425;-6.349370992";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.775669425;-6.349370992";"36.7754336460645;-6.34920808176308";"36.7752873237835;-6.34892125965946";"36.7753534215023;-6.34862890397795";"36.7751442001407;-6.34834847054045";"36.7749325062143;-6.34807095420466";"36.7747201966952;-6.34779416413751";"36.774507887176;-6.34751737407037";"36.7742955776569;-6.34724058400323";"36.7740703794386;-6.3474864732423";"36.7738448342495;-6.34774643329185";"36.7736220832482;-6.34801011459667";"36.7733996175553;-6.34827417587061";"36.7731807692994;-6.3485428791817";"36.7729561543412;-6.34880407770116";"36.7727313216886;-6.34906499356061";"36.772509436559;-6.34932966084377";"36.7723462381988;-6.34961800301192";"36.7724687371032;-6.34987932071638";"36.7726567182733;-6.3501820621574";"36.772769986651;-6.35053701019703";"36.7728709519322;-6.35089880426458";"36.7730354716666;-6.35122071803112";"36.773241709691;-6.3515043135285";"36.7734630622141;-6.35176966340024";"36.7736924626613;-6.35202429948135";"36.7739439037722;-6.35224389503726";"36.7740617746667;-6.35251216802328";"36.7740826085786;-6.35281619989167";"36.773961570187;-6.35316838113051";"36.7738535665861;-6.35352687972017";"36.7737525333428;-6.35388875651469";"36.7740140655777;-6.35408790826585";"36.7742776189674;-6.35428437884064";"36.7745416602369;-6.35447983684523";"36.7748012729515;-6.35466333608656";"36.7748760190343;-6.35429164123477";"36.774951734766;-6.35392024737593";"36.7750274504978;-6.35354885351708";"36.7752026304792;-6.35343746560074";"36.7754598297295;-6.35339475774474";"36.7756654226557;-6.35331376875157";"36.7759526422864;-6.35344900869021";"36.7761456999952;-6.35345045835705";"36.7758966042116;-6.35330211319438";"36.7759321451112;-6.35296605865621";"36.7760145258951;-6.35259687778197";"36.7761088672956;-6.35223218834687";"36.7760485798727;-6.35193687415176";"36.7757939051372;-6.35172329281814";"36.7756188990653;-6.35148626422952";"36.7758210247544;-6.35119915996082";"36.7759762758529;-6.35086854832021";"36.776106487726;-6.35052169213337";"36.7762855768201;-6.35034265029329";"36.7765482361973;-6.350466008634";"36.7765606356741;-6.35008307839409";"36.7764897628284;-6.34977440963462";"36.7761963253769;-6.34966189731084";"36.7759062257603;-6.34953717809027";;
Bondad: (Paso de misterio);https://i.postimg.cc/SxHM7QvB/13721-removebg-preview.png;22/03/2024-19:10;23/03/2024-00:10;"36.7761963253769;-6.34966189731084";"36.7759062257603;-6.34953717809027";"36.775669425;-6.349370992";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.775669425;-6.349370992";"36.7754336460645;-6.34920808176308";"36.7752873237835;-6.34892125965946";"36.7753534215023;-6.34862890397795";"36.7751442001407;-6.34834847054045";"36.7749325062143;-6.34807095420466";"36.7747201966952;-6.34779416413751";"36.774507887176;-6.34751737407037";"36.7742955776569;-6.34724058400323";"36.7740703794386;-6.3474864732423";"36.7738448342495;-6.34774643329185";"36.7736220832482;-6.34801011459667";"36.7733996175553;-6.34827417587061";"36.7731807692994;-6.3485428791817";"36.7729561543412;-6.34880407770116";"36.7727313216886;-6.34906499356061";"36.772509436559;-6.34932966084377";"36.7723462381988;-6.34961800301192";"36.7724687371032;-6.34987932071638";"36.7726567182733;-6.3501820621574";"36.772769986651;-6.35053701019703";"36.7728709519322;-6.35089880426458";"36.7730354716666;-6.35122071803112";"36.773241709691;-6.3515043135285";"36.7734630622141;-6.35176966340024";"36.7736924626613;-6.35202429948135";"36.7739439037722;-6.35224389503726";"36.7740617746667;-6.35251216802328";"36.7740826085786;-6.35281619989167";"36.773961570187;-6.35316838113051";"36.7738535665861;-6.35352687972017";"36.7737525333428;-6.35388875651469";"36.7740140655777;-6.35408790826585";"36.7742776189674;-6.35428437884064";"36.7745416602369;-6.35447983684523";"36.7748012729515;-6.35466333608656";"36.7748760190343;-6.35429164123477";"36.774951734766;-6.35392024737593";"36.7750274504978;-6.35354885351708";"36.7752026304792;-6.35343746560074";"36.7754598297295;-6.35339475774474";"36.7756654226557;-6.35331376875157";"36.7759526422864;-6.35344900869021";"36.7761456999952;-6.35345045835705";"36.7758966042116;-6.35330211319438";"36.7759321451112;-6.35296605865621";"36.7760145258951;-6.35259687778197";"36.7761088672956;-6.35223218834687";"36.7760485798727;-6.35193687415176";"36.7757939051372;-6.35172329281814";"36.7756188990653;-6.35148626422952";"36.7758210247544;-6.35119915996082";"36.7759762758529;-6.35086854832021";"36.776106487726;-6.35052169213337";"36.7762855768201;-6.35034265029329";"36.7765482361973;-6.350466008634";"36.7765606356741;-6.35008307839409";"36.7764897628284;-6.34977440963462";;
Tercera Caída: (Cruz de guía);https://i.postimg.cc/wj1NmR05/13718-removebg-preview.png;23/03/2024-17:30;23/03/2024-22:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.773890142;-6.369117116";"36.7734503807282;-6.36911985471658";"36.7731647990526;-6.36963902849864";"36.772846986867;-6.36987891135143";"36.7723624982231;-6.36969725504095";"36.771877528555;-6.36951761284692";"36.7714132582882;-6.36937806404907";"36.7712735507202;-6.36998502484035";"36.7709416054642;-6.37020528956729";"36.7708371856723;-6.37077148205458";"36.7713222784267;-6.37095060748289";"36.7718079591842;-6.37112723173578";"36.7722938688548;-6.37130287419735";"36.7727274908049;-6.37135842090514";"36.7728725811019;-6.37075341951191";"36.7730204245312;-6.37014945781429";"36.7731967221024;-6.36955935533645";"36.7734928039824;-6.36904817227679";"36.7738011738628;-6.36854761544319";"36.7740058785883;-6.3679822922269";"36.7740541955854;-6.36735364382609";"36.7741369539583;-6.36673091837849";"36.7742815347389;-6.36612669028111";"36.7744322630702;-6.36552444681091";"36.7746152004646;-6.36493675247415";"36.7746541341293;-6.36441926607436";"36.7742432069089;-6.36405899668799";"36.7738023095785;-6.36380044482633";"36.7734426865448;-6.36335628838106";"36.7731399451959;-6.36287026443565";"36.772944459348;-6.36229335181835";"36.7729196908831;-6.36166732793335";"36.7732442062637;-6.36134902404207";"36.7737468135054;-6.36129890407181";"36.7742523386701;-6.36131307046999";"36.7747399345015;-6.36145705440635";"36.7750491439184;-6.36124634695551";"36.7749871524799;-6.36144214851903";"36.775162115439;-6.36129446373201";"36.7756479575678;-6.36127726590794";"36.7758403808639;-6.36081711237992";"36.7759358040979;-6.36019729133989";"36.7760445363096;-6.35958308183969";"36.7762508206383;-6.3590070599328";"36.7765153497963;-6.35850464312435";"36.7769716923278;-6.35877181288854";"36.7769538398033;-6.35923761497018";"36.7766839490796;-6.35977178042989";"36.7764179212278;-6.36030863252323";"36.7762191305112;-6.3609341604875";"36.7760489520608;-6.36157292368181";"36.7757360487094;-6.36212164496071";"36.7754210182374;-6.36266786809429";"36.7752017692198;-6.36328296888906";"36.7749957494419;-6.36390556061214";"36.7747819488739;-6.36452331326637";"36.7745470888311;-6.3651295482435";"36.7743767115752;-6.36576760333202";"36.7742023382657;-6.36640472510843";"36.7740876038474;-6.3670620207966";"36.7740229829152;-6.36773049747665";"36.7738970700745;-6.36837454064095";"36.7735748406068;-6.36891461598404";"36.773890142;-6.369117116";;;;;;;;;;;;;;;;
Tercera Caída: (Paso de misterio);https://i.postimg.cc/wj1NmR05/13718-removebg-preview.png;23/03/2024-17:45;23/03/2024-23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.773890142;-6.369117116";"36.7734503807282;-6.36911985471658";"36.7731647990526;-6.36963902849864";"36.772846986867;-6.36987891135143";"36.7723624982231;-6.36969725504095";"36.771877528555;-6.36951761284692";"36.7714132582882;-6.36937806404907";"36.7712735507202;-6.36998502484035";"36.7709416054642;-6.37020528956729";"36.7708371856723;-6.37077148205458";"36.7713222784267;-6.37095060748289";"36.7718079591842;-6.37112723173578";"36.7722938688548;-6.37130287419735";"36.7727274908049;-6.37135842090514";"36.7728725811019;-6.37075341951191";"36.7730204245312;-6.37014945781429";"36.7731967221024;-6.36955935533645";"36.7734928039824;-6.36904817227679";"36.7738011738628;-6.36854761544319";"36.7740058785883;-6.3679822922269";"36.7740541955854;-6.36735364382609";"36.7741369539583;-6.36673091837849";"36.7742815347389;-6.36612669028111";"36.7744322630702;-6.36552444681091";"36.7746152004646;-6.36493675247415";"36.7746541341293;-6.36441926607436";"36.7742432069089;-6.36405899668799";"36.7738023095785;-6.36380044482633";"36.7734426865448;-6.36335628838106";"36.7731399451959;-6.36287026443565";"36.772944459348;-6.36229335181835";"36.7729196908831;-6.36166732793335";"36.7732442062637;-6.36134902404207";"36.7737468135054;-6.36129890407181";"36.7742523386701;-6.36131307046999";"36.7747399345015;-6.36145705440635";"36.7750491439184;-6.36124634695551";"36.7749871524799;-6.36144214851903";"36.775162115439;-6.36129446373201";"36.7756479575678;-6.36127726590794";"36.7758403808639;-6.36081711237992";"36.7759358040979;-6.36019729133989";"36.7760445363096;-6.35958308183969";"36.7762508206383;-6.3590070599328";"36.7765153497963;-6.35850464312435";"36.7769716923278;-6.35877181288854";"36.7769538398033;-6.35923761497018";"36.7766839490796;-6.35977178042989";"36.7764179212278;-6.36030863252323";"36.7762191305112;-6.3609341604875";"36.7760489520608;-6.36157292368181";"36.7757360487094;-6.36212164496071";"36.7754210182374;-6.36266786809429";"36.7752017692198;-6.36328296888906";"36.7749957494419;-6.36390556061214";"36.7747819488739;-6.36452331326637";"36.7745470888311;-6.3651295482435";"36.7743767115752;-6.36576760333202";"36.7742023382657;-6.36640472510843";"36.7740876038474;-6.3670620207966";"36.7740229829152;-6.36773049747665";"36.7738970700745;-6.36837454064095";"36.7735748406068;-6.36891461598404";"36.773890142;-6.369117116";;;;;;;;;;;;;
Amor y Humildad: (Cruz de guía);https://i.postimg.cc/hPPTK5m5/13720-removebg-preview.png;23/03/2024-18:00;24/03/2024-00:00;"36.7677197133071;-6.35552212651827";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.767672222;-6.35553669";"36.768099410866;-6.35533044762288";"36.7685953526861;-6.3551710595204";"36.7690888747538;-6.35500042633816";"36.7695820299025;-6.35482808800854";"36.7699947334629;-6.35488346383035";"36.7703884832837;-6.35500729197467";"36.7708848508827;-6.35484997719707";"36.7713780821739;-6.3546780234578";"36.7716255152451;-6.35426111363949";"36.7711406101615;-6.35430354633416";"36.770756720546;-6.35421344794063";"36.7705744082899;-6.35362008488";"36.7704796946691;-6.35350794295816";"36.7702363381466;-6.35386454403446";"36.7698074683612;-6.35408729617507";"36.7695248106392;-6.35442883681441";"36.7690317608273;-6.35460164432194";"36.7685720085317;-6.35470003858566";"36.768431345325;-6.35408533298892";"36.7682922022792;-6.35347010074041";"36.7681588038535;-6.35285287829833";"36.7680263318612;-6.35223534700127";"36.7676856869245;-6.35206753955841";"36.767200982626;-6.35227331449835";"36.7667282114908;-6.35251779526741";"36.7662422872011;-6.3527193360519";"36.7657503854615;-6.3528960349958";"36.7652439438193;-6.35296065345337";"36.7647327409789;-6.35293105109708";"36.764223513441;-6.35298997673113";"36.7637202952677;-6.35310743597876";"36.7632167503375;-6.35321755299625";"36.762764331722;-6.35351460950963";"36.7624008867855;-6.35396474547884";"36.7620615952706;-6.35444349543524";"36.7620604197313;-6.35504898230107";"36.7621575528371;-6.35567658777268";"36.7622326878514;-6.35630851117056";"36.7622497625777;-6.3569435521136";"36.7622388927048;-6.35756085684256";"36.7622156776062;-6.35819944181277";"36.7621924625077;-6.35883802678297";"36.7619626972425;-6.35921112131333";"36.7615146743824;-6.35951525186461";"36.7610720632409;-6.35983674769977";"36.7606316970377;-6.36016305206513";"36.7605407280438;-6.36051847699262";"36.7607003592779;-6.36009925203681";"36.7611406632826;-6.35977281703724";"36.761585148165;-6.35945540822714";"36.7620466114485;-6.35920910690695";"36.7622021663846;-6.35874335577791";"36.762225215691;-6.3581047613761";"36.7622482649974;-6.3574661669743";"36.762458700031;-6.35702515399314";"36.7629707578443;-6.35702395680387";"36.7634828404413;-6.35703073101243";"36.7639949239627;-6.35703762089056";"36.7645070066966;-6.35704458826075";"36.7650190386434;-6.35705601672087";"36.7655310520995;-6.35706806547106";"36.766042945591;-6.35705439668448";"36.7665539185633;-6.35701296159024";"36.7670614771826;-6.35692986203432";"36.7675678152173;-6.35683522481875";"36.7680760127405;-6.35675632456527";"36.7685836046348;-6.35667155636999";"36.7689539810202;-6.35647232412797";"36.7688225078792;-6.35585445314649";"36.7686312614007;-6.35536590739907";"36.7681369601765;-6.35553304907924";;
Amor y Humildad: (Paso de misterio);https://i.postimg.cc/hPPTK5m5/13720-removebg-preview.png;23/03/2024-18:15;24/03/2024-00:15;"36.7688225078792;-6.35585445314649";"36.7686312614007;-6.35536590739907";"36.7681369601765;-6.35553304907924";"36.7677197133071;-6.35552212651827";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.767672222;-6.35553669";"36.768099410866;-6.35533044762288";"36.7685953526861;-6.3551710595204";"36.7690888747538;-6.35500042633816";"36.7695820299025;-6.35482808800854";"36.7699947334629;-6.35488346383035";"36.7703884832837;-6.35500729197467";"36.7708848508827;-6.35484997719707";"36.7713780821739;-6.3546780234578";"36.7716255152451;-6.35426111363949";"36.7711406101615;-6.35430354633416";"36.770756720546;-6.35421344794063";"36.7705744082899;-6.35362008488";"36.7704796946691;-6.35350794295816";"36.7702363381466;-6.35386454403446";"36.7698074683612;-6.35408729617507";"36.7695248106392;-6.35442883681441";"36.7690317608273;-6.35460164432194";"36.7685720085317;-6.35470003858566";"36.768431345325;-6.35408533298892";"36.7682922022792;-6.35347010074041";"36.7681588038535;-6.35285287829833";"36.7680263318612;-6.35223534700127";"36.7676856869245;-6.35206753955841";"36.767200982626;-6.35227331449835";"36.7667282114908;-6.35251779526741";"36.7662422872011;-6.3527193360519";"36.7657503854615;-6.3528960349958";"36.7652439438193;-6.35296065345337";"36.7647327409789;-6.35293105109708";"36.764223513441;-6.35298997673113";"36.7637202952677;-6.35310743597876";"36.7632167503375;-6.35321755299625";"36.762764331722;-6.35351460950963";"36.7624008867855;-6.35396474547884";"36.7620615952706;-6.35444349543524";"36.7620604197313;-6.35504898230107";"36.7621575528371;-6.35567658777268";"36.7622326878514;-6.35630851117056";"36.7622497625777;-6.3569435521136";"36.7622388927048;-6.35756085684256";"36.7622156776062;-6.35819944181277";"36.7621924625077;-6.35883802678297";"36.7619626972425;-6.35921112131333";"36.7615146743824;-6.35951525186461";"36.7610720632409;-6.35983674769977";"36.7606316970377;-6.36016305206513";"36.7605407280438;-6.36051847699262";"36.7607003592779;-6.36009925203681";"36.7611406632826;-6.35977281703724";"36.761585148165;-6.35945540822714";"36.7620466114485;-6.35920910690695";"36.7622021663846;-6.35874335577791";"36.762225215691;-6.3581047613761";"36.7622482649974;-6.3574661669743";"36.762458700031;-6.35702515399314";"36.7629707578443;-6.35702395680387";"36.7634828404413;-6.35703073101243";"36.7639949239627;-6.35703762089056";"36.7645070066966;-6.35704458826075";"36.7650190386434;-6.35705601672087";"36.7655310520995;-6.35706806547106";"36.766042945591;-6.35705439668448";"36.7665539185633;-6.35701296159024";"36.7670614771826;-6.35692986203432";"36.7675678152173;-6.35683522481875";"36.7680760127405;-6.35675632456527";"36.7685836046348;-6.35667155636999";"36.7689539810202;-6.35647232412797";;
Borriquita: (Cruz de guía);https://i.postimg.cc/6qzZddkc/13701-removebg-preview.png;23/03/2024-16:05;23/03/2024-23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.7739809296811;-6.35243964049091";"36.7741043589666;-6.35275294201622";"36.7739673747726;-6.35315501846733";"36.7738446170483;-6.35356396380261";"36.7738164339899;-6.35393727563049";"36.7741159485351;-6.3541633118587";"36.7742196885123;-6.35374988876939";"36.7743229294107;-6.35333239724372";"36.7744272399023;-6.35291531846285";"36.7746506073296;-6.35258482125007";"36.7748897567911;-6.3522658011785";"36.7751803906201;-6.35202885440356";"36.7754307014863;-6.35201857565929";"36.7749171693881;-6.35284268896587";"36.7755663390539;-6.35326725744032";"36.7761342611399;-6.35344930746076";"36.7757497471941;-6.35389971956853";"36.7756656430492;-6.35429120187572";"36.7755815301929;-6.35468268128459";"36.7754974173366;-6.35507416069346";"36.7752933172353;-6.35505535171136";"36.7750182679989;-6.35484162206551";"36.7747971476875;-6.35489733426846";"36.7746637094831;-6.35526683021606";"36.7749063162339;-6.35543980948856";"36.7751904148348;-6.35563398614283";"36.7754598445989;-6.35585998959679";"36.7757096759382;-6.35611856897172";"36.7759550981217;-6.35638383883018";"36.7762099429348;-6.35663286954635";"36.7764675410468;-6.35671793039684";"36.7766497610648;-6.35638247119937";"36.7768319810829;-6.3560470120019";"36.7769974356765;-6.35569833027332";"36.7771622097717;-6.35534909782169";"36.7773342103645;-6.35500532739337";"36.7775648534547;-6.35476760559949";"36.7778704413842;-6.3549032343642";"36.7781638938923;-6.35500252669409";"36.7783193344843;-6.35464667171639";"36.7784747750762;-6.35429081673869";"36.778632865352;-6.35393680255707";"36.7787933328817;-6.35358443990832";"36.7789538004115;-6.35323207725957";"36.7791142679412;-6.35287971461081";"36.779274735471;-6.35252735196206";"36.7794351345061;-6.35217494125452";"36.7795734450182;-6.35186331962465";"36.77971718969;-6.35155566190826";"36.7798667270679;-6.35125222964471";"36.7796125427291;-6.35109096858405";"36.779358051626;-6.35092981555088";"36.7791675946246;-6.35102629232846";"36.7790000996327;-6.35131360077436";"36.7788047496551;-6.35157329461973";"36.7786446193897;-6.35186806026373";"36.7784870837999;-6.35216506723572";"36.7783361157411;-6.35246738718361";"36.7781886844333;-6.35277240861285";"36.7779951281863;-6.35280919594083";"36.777747532872;-6.35263413914006";"36.7775913177684;-6.35283971274765";"36.7775787633133;-6.3531496911076";"36.7777232128892;-6.35345625520968";"36.7778528839789;-6.35371291498884";"36.7777373900136;-6.35394584915589";"36.7774536085955;-6.35390865995432";"36.7771696084722;-6.3538740332291";"36.7768854411535;-6.35384159929458";"36.7766514659267;-6.35398693833034";"36.7766275353422;-6.35433576231222";"36.7764718401204;-6.35440676871562";"36.7762169863802;-6.35424757978608";"36.7759712243209;-6.35406664898644";"36.7757612867713;-6.35386430177905";"36.7758302885643;-6.35351862205442";"36.7756694027867;-6.35332167398096";"36.7754696749161;-6.35337208913982";"36.7752458209384;-6.35345113522455";"36.7749920507394;-6.35329991213713";"36.7747536967386;-6.35310404739351";"36.7745160876823;-6.3529068213653";"36.7742832660938;-6.35270084689204";"36.774051709444;-6.35249268211141";;;;;;;;;;;;;
Borriquita: (Paso de palio);https://i.postimg.cc/6qzZddkc/13701-removebg-preview.png;23/03/2024-16:50;24/03/2024-00:10;"36.7744606539707;-6.35285777982405";"36.774255549238;-6.35267632612141";"36.774051709444;-6.35249268211141";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.77398093;-6.35243964";"36.774123928;-6.352695502";"36.774006513;-6.353040139";"36.773894069;-6.353387176";"36.773795166;-6.35374075";"36.773902009;-6.354001857";"36.774131922;-6.354108019";"36.774219688;-6.35374989";"36.774308027;-6.353391981";"36.774397437;-6.353034485";"36.774548114;-6.352721545";"36.774753099;-6.352448099";"36.774976349;-6.352204028";"36.77521559;-6.351984524";"36.7754307;-6.352018577";"36.775087026;-6.352566716";"36.77504705;-6.353013811";"36.775566341;-6.353267259";"36.775889857;-6.353326632";"36.775992986;-6.353470837";"36.77571812;-6.354066455";"36.775587183;-6.35465992";"36.775484806;-6.355146225";"36.77515323;-6.354938816";"36.774858858;-6.354803063";"36.774679691;-6.35521758";"36.774911261;-6.355437126";"36.775326705;-6.355742024";"36.775635344;-6.356035078";"36.775977065;-6.356410438";"36.776389216;-6.356754907";"36.776675355;-6.356353138";"36.776975043;-6.35574008";"36.777234961;-6.355215226";"36.777564678;-6.354764188";"36.777822691;-6.354878798";"36.778066891;-6.354982708";"36.77821114;-6.354891644";"36.778347498;-6.354579578";"36.778475222;-6.35428321";"36.77860163;-6.354004067";"36.778726001;-6.353726169";"36.778886739;-6.353382159";"36.77902896;-6.353076629";"36.77920869;-6.352685807";"36.779339713;-6.352388385";"36.779435129;-6.352174953";"36.779556974;-6.351900429";"36.77968158;-6.351627919";"36.779813316;-6.351360609";"36.779733738;-6.351167714";"36.779509544;-6.351025746";"36.779285349;-6.350883778";"36.779144815;-6.3510784";"36.778990806;-6.351325956";"36.778818712;-6.351554732";"36.778674983;-6.351811756";"36.778534586;-6.352072099";"36.778400823;-6.352337808";"36.778269163;-6.352605157";"36.778139708;-6.352874192";"36.777944781;-6.352765901";"36.777722235;-6.352621791";"36.777594116;-6.352831962";"36.777556177;-6.353107299";"36.777689215;-6.353373139";"36.777814319;-6.35363837";"36.777835634;-6.353882382";"36.777629429;-6.353930289";"36.777379259;-6.353899513";"36.777129038;-6.353869403";"36.7768787;-6.35384083";"36.776663459;-6.353956469";"36.776624116;-6.354259487";"36.7765593;-6.354453672";"36.776329724;-6.354326257";"36.776110661;-6.354172343";"36.775895783;-6.354009464";"36.775774414;-6.353798538";"36.775835201;-6.35349401";"36.77568213;-6.353327843";"36.775485374;-6.353315957";"36.775326916;-6.353462401";"36.775088589;-6.353379241";"36.77487861;-6.353206694";"36.774668632;-6.353034146";"36.774460714;-6.352857833";"36.774255611;-6.35267638"
