Bondad;Tercera Caida;Amor y Humildad;Borriquita;Cena;Huerto;Pusillus Grex;Canita;Prendimiento;Consuelo;Estudiantes;Dolores;Cautivo;Esperanza;Silencio;Nazareno;Angustias;Vera-Cruz;Sed;Santo Entierro;Resucitado
;36.774057024,-6.367295469;;;36.783480837,-6.346450996;;;;;;;;;;;;;;;;
;36.774035303,-6.36756887;;;36.783737821,-6.346087541;;;;;;;;;;;;;;;;
;36.774012047,-6.367873966;;;36.784358823,-6.34523218;;;;;;;;;;;;;;;;
;36.773998729,-6.368038381;;;36.78485495,-6.344541113;;;;;;;;;;;;;;;;
;36.773984878,-6.368145701;;;36.785186265,-6.344101254;;;;;;;;;;;;;;;;
;36.77394856,-6.368275657;;;36.785945572,-6.343056057;;;;;;;;;;;;;;;;
;36.773866477,-6.368433293;;;36.786594785,-6.342149078;;;;;;;;;;;;;;;;
;36.773755687,-6.368622766;;;36.786960864,-6.341647473;;;;;;;;;;;;;;;;
;36.773501883,-6.369032355;;;36.787061431,-6.341486109;;;;;;;;;;;;;;;;
;36.773614204,-6.369122186;;;36.78793208,-6.340530064;;;;;;;;;;;;;;;;
;36.773735043,-6.369154089;;;36.788466833,-6.340022673;;;;;;;;;;;;;;;;
;36.773890142,-6.369117116;;;36.788891167,-6.339695213;;;;;;;;;;;;;;;;
;;;;36.789895159,-6.339002126;;;;;;;;;;;;;;;;
;;;;36.790693156,-6.338437686;;;;;;;;;;;;;;;;
;;;;36.791395848,-6.337951544;;;;;;;;;;;;;;;;
;;;;36.792203506,-6.337383151;;;;;;;;;;;;;;;;
;;;;36.792404969,-6.337830216;;;;;;;;;;;;;;;;
;;;;36.792883416,-6.337505539;;;;;;;;;;;;;;;;
;;;;36.792686948,-6.337045448;;;;;;;;;;;;;;;;
;;;;36.7927825,-6.336983223;;;;;;;;;;;;;;;;
;;;;36.79292871,-6.336956685;;;;;;;;;;;;;;;;
;;;;36.793099376,-6.336960304;;;;;;;;;;;;;;;;
;;;;36.793324816,-6.336985998;;;;;;;;;;;;;;;;
;;;;36.793863066,-6.337028682;;;;;;;;;;;;;;;;
;;;;36.794477079,-6.337072237;;;;;;;;;;;;;;;;
;;;;36.795466003,-6.337164662;;;;;;;;;;;;;;;;
;;;;36.796402766,-6.337279787;;;;;;;;;;;;;;;;
;;;;36.796719777,-6.337304376;;;;;;;;;;;;;;;;
;;;;36.796933669,-6.33729859;;;;;;;;;;;;;;;;
;;;;36.797127226,-6.337280015;;;;;;;;;;;;;;;;
;;;;36.797296267,-6.337233663;;;;;;;;;;;;;;;;
;;;;36.797565304,-6.337173848;;;;;;;;;;;;;;;;
;;;;36.79801544,-6.337061875;;;;;;;;;;;;;;;;
;;;;36.798778941,-6.336855689;;;;;;;;;;;;;;;;
;;;;36.799678516,-6.336594461;;;;;;;;;;;;;;;;
;;;;36.800074506,-6.336476726;;;;;;;;;;;;;;;;
;;;;36.800522308,-6.336351778;;;;;;;;;;;;;;;;
;;;;36.801290757,-6.336164053;;;;;;;;;;;;;;;;
;;;;36.801196794,-6.335607116;;;;;;;;;;;;;;;;
